WAVY02:Ativo:[gps]:2025-05-27-16-08-41
WAVY02:40.640108,-8.650227:2025-01-01-00-00-00
WAVY02:40.639675,-8.650190:2025-01-01-00-03-25
WAVY02:40.639580,-8.650496:2025-01-01-00-03-30
WAVY02:40.640044,-8.649695:2025-01-01-00-03-35
WAVY02:40.639985,-8.649640:2025-01-01-00-03-40
WAVY02:40.640188,-8.649932:2025-01-01-00-03-45
WAVY02:40.640170,-8.650241:2025-01-01-00-03-50
WAVY02:40.640333,-8.649824:2025-01-01-00-03-55
WAVY02:40.640470,-8.649953:2025-01-01-00-04-00
WAVY02:40.640056,-8.649535:2025-01-01-00-04-05
WAVY02:40.639771,-8.649814:2025-01-01-00-04-10
WAVY02:40.639897,-8.649733:2025-01-01-00-04-15
WAVY02:40.639959,-8.650249:2025-01-01-00-04-20
WAVY02:40.640220,-8.649618:2025-01-01-00-04-25
WAVY02:40.640094,-8.649573:2025-01-01-00-04-30
WAVY02:40.640071,-8.649686:2025-01-01-00-04-35
WAVY02:40.640464,-8.649953:2025-01-01-00-04-40
WAVY02:40.639977,-8.649990:2025-01-01-00-04-45
WAVY02:40.640486,-8.649539:2025-01-01-00-04-50
WAVY02:40.639710,-8.650031:2025-01-01-00-04-55
WAVY02:40.639580,-8.649623:2025-01-01-00-05-00
WAVY02:40.640220,-8.649992:2025-01-01-00-05-05
WAVY02:40.640130,-8.650130:2025-01-01-00-05-10
WAVY02:40.639677,-8.649779:2025-01-01-00-05-15
WAVY02:40.639512,-8.649654:2025-01-01-00-05-20
WAVY02:41.150033,-8.610373:2025-01-01-00-00-00
WAVY02:41.150319,-8.610019:2025-01-01-00-00-05
WAVY02:41.150011,-8.610286:2025-01-01-00-00-10
WAVY02:41.150179,-8.610247:2025-01-01-00-00-15
WAVY02:41.149860,-8.609722:2025-01-01-00-00-20
WAVY02:41.149882,-8.610338:2025-01-01-00-00-25
WAVY02:41.149595,-8.610115:2025-01-01-00-00-30
WAVY02:41.150333,-8.609597:2025-01-01-00-00-35
WAVY02:41.149549,-8.610473:2025-01-01-00-00-40
WAVY02:41.149793,-8.609702:2025-01-01-00-00-45
WAVY02:41.150055,-8.610015:2025-01-01-00-00-50
WAVY02:41.149928,-8.610403:2025-01-01-00-00-55
WAVY02:41.150312,-8.609866:2025-01-01-00-01-00
WAVY02:41.149555,-8.609785:2025-01-01-00-01-05
WAVY02:41.149603,-8.609958:2025-01-01-00-01-10
WAVY02:40.639947,-8.650062:2025-01-01-00-05-25
WAVY02:40.639782,-8.649968:2025-01-01-00-05-30
WAVY02:40.640026,-8.649959:2025-01-01-00-05-35
WAVY02:40.640228,-8.649742:2025-01-01-00-05-40
WAVY02:40.640292,-8.650126:2025-01-01-00-05-45
WAVY02:40.639514,-8.649820:2025-01-01-00-05-50
WAVY02:40.640431,-8.649868:2025-01-01-00-05-55
WAVY02:40.639617,-8.649778:2025-01-01-00-06-00
WAVY02:40.640144,-8.649591:2025-01-01-00-06-05
WAVY02:40.640125,-8.649706:2025-01-01-00-06-10
WAVY02:41.149993,-8.609621:2025-01-01-00-01-15
WAVY02:41.150285,-8.609537:2025-01-01-00-01-20
WAVY02:41.149524,-8.610132:2025-01-01-00-01-25
WAVY02:41.150237,-8.609560:2025-01-01-00-01-30
WAVY02:41.149894,-8.609814:2025-01-01-00-01-35
WAVY02:41.149570,-8.609947:2025-01-01-00-01-40
WAVY02:41.150245,-8.610467:2025-01-01-00-01-45
WAVY02:41.150016,-8.609941:2025-01-01-00-01-50
WAVY02:41.150032,-8.609873:2025-01-01-00-01-55
WAVY02:41.149999,-8.609884:2025-01-01-00-02-00
WAVY02:40.639769,-8.650313:2025-01-01-00-06-15
WAVY02:40.639552,-8.650207:2025-01-01-00-06-20
WAVY02:40.640308,-8.650476:2025-01-01-00-06-25
WAVY02:40.640070,-8.649530:2025-01-01-00-06-30
WAVY02:40.640097,-8.649833:2025-01-01-00-06-35
WAVY02:41.150005,-8.610219:2025-01-01-00-02-05
WAVY02:41.150279,-8.610278:2025-01-01-00-02-10
WAVY02:41.150441,-8.609855:2025-01-01-00-02-15
WAVY02:41.149570,-8.610288:2025-01-01-00-02-20
WAVY02:41.150303,-8.610087:2025-01-01-00-02-25
WAVY02:40.640347,-8.650049:2025-01-01-00-06-40
WAVY02:40.639918,-8.649938:2025-01-01-00-06-45
WAVY02:40.640215,-8.650165:2025-01-01-00-06-50
WAVY02:40.639619,-8.650343:2025-01-01-00-06-55
WAVY02:40.640056,-8.650064:2025-01-01-00-07-00
WAVY02:41.149885,-8.610353:2025-01-01-00-02-30
WAVY02:41.150140,-8.609793:2025-01-01-00-02-35
WAVY02:41.150278,-8.609949:2025-01-01-00-02-40
WAVY02:41.149708,-8.610118:2025-01-01-00-02-45
WAVY02:41.149937,-8.609686:2025-01-01-00-02-50
WAVY02:40.639985,-8.650464:2025-01-01-00-07-05
WAVY02:40.639681,-8.650385:2025-01-01-00-07-10
WAVY02:40.639541,-8.650208:2025-01-01-00-07-15
WAVY02:40.640396,-8.649852:2025-01-01-00-07-20
WAVY02:40.639551,-8.649598:2025-01-01-00-07-25
